"rotationAngles","rotationAnglesMag"
2.9275348874678,3.08255277031258
3.28060454227867,3.56789189867709
3.56140962350697,3.99916967279948
3.65560587975734,4.18504570289053
3.5850051785808,4.01028274705464
3.53715864536939,3.51002518917511
3.69977037543154,2.85935405252753
4.03689237614542,2.21369643627519
4.44595261229255,1.71972101191149
4.84958703112603,1.55698169052252
5.24170513747986,1.9215174661716
5.62000753590792,2.70490848910316
5.97329353084065,3.69897198360157
6.25942185034195,4.78863082003473
6.41774689348466,5.95640542427598
6.43781774122034,7.17802699285708
6.35441281438283,8.38761726716816
6.2465692126956,9.46522640785606
6.15560474401736,10.3419356740863
6.08970161544594,10.9872697095204
6.05590266621137,11.4826630207622
5.98785665226651,11.7615415382423
5.86190645518947,11.8064965716397
5.63832062287306,11.5197935005511
5.34771260945809,10.970980858119
4.99674246016385,10.2235071804362
4.7092429741502,9.34292206126344
4.77013304055332,8.39964176628049
5.45794011398938,7.61110162852363
6.55734431413397,7.20888667434801
7.41848266969425,7.08574196652498
7.57519596256168,6.80656072300717
6.88076144907329,6.09462444273902
5.63763255026027,5.1596481306287
4.47838568830235,4.44476647918661
4.23710901200154,4.14400636047741
4.90592805287016,4.18546647790075
6.22815979964995,4.84435461045526
7.40352162304699,5.6652402250405
8.15937951170783,6.28063460038534
8.37308583096148,6.5013956946992
8.14324823437468,6.37471385282524
7.6732087145975,6.05617076521699
7.16931963361289,5.71671569119185
6.74591031558499,5.46583842378848
6.41724031466177,5.30893355293888
6.15953887200196,5.20012334468945
5.94883228569102,5.11062841974951
5.78270250695137,5.0296644428446
5.6475853426387,4.95198321022294
5.51908056819089,4.85160897911641
5.3689254462238,4.70914492284076
5.17772031398444,4.5175731044331
4.94358439659651,4.28967263461927
4.67424351193362,4.04480426596349
4.4113110799918,3.82939364259855
4.23519801937113,3.74113985703963
4.20076721104955,3.85398820145069
4.28841046453909,4.17281293719919
4.37337270799431,4.53693872093695
4.34422674199831,4.73229761512343
4.17196410611559,4.61584832257291
3.98786359673195,4.20216418257766
3.97568204721293,3.59411165876978
