"","x"
"590",-4.9491472087492
"591",-2.782140002734
"592",-1.68384622800135
"593",-0.622011070022407
"594",-0.471956953255105
"595",-1.00666533442731
"596",-0.832697955153839
"597",-0.389568329688763
"598",-1.88354282333445
"599",-3.33517041343504
"600",-2.75266546448777
"601",-1.47642563333113
"602",-1.30785511395994
"603",-1.11948231420132
"604",-1.68522868876305
"605",-3.7630161776132
"606",-4.55828474125861
"607",-5.49833313056553
"608",-7.54333361836299
"609",-7.81714114381413
"610",-7.20983384887167
"611",-4.93026248230246
"612",-2.0061228338637
"613",-0.530682783123394
"614",-1.55811397990248
"615",-1.40887335275561
"616",-0.82152470667533
"617",-0.497115560463941
"618",-0.789801621954932
"619",-2.01589081675728
"620",-4.07259456354635
"621",-5.8977370426756
"622",-5.59798701257975
"623",-3.47941583458274
"624",-1.07844498854256
"625",-0.649036063353833
"626",-0.642935433904739
"627",-0.19674202713151
"628",-0.190410346651935
"629",-1.28981146548727
"630",-2.97741858994749
"631",-3.37058538907916
"632",-4.07969760465648
"633",-6.39446853239346
"634",-8.13199437433422
"635",-7.55741700945988
"636",-6.72622743075384
"637",-5.39725176178589
"638",-3.01517050238764
"639",-4.55612777466918
"640",-6.12604854741657
"641",-5.8895593141715
"642",-3.39137600732732
"643",-2.02561554470958
"644",-1.14023861102386
"645",-1.54670985080603
"646",-0.722288748075612
"647",-0.675591141228233
"648",-0.998517437322919
"649",-0.967143866551178
"650",-1.99382826442465
"651",-2.65914336221054
"652",-2.65032468785559
"653",-2.13652246827728
"654",-1.4796101319002
"655",-1.06945173805028
"656",-2.00261772582411
"657",-3.81340510187534
"658",-5.20338334633392
"659",-6.27113627220277
"660",-8.77139606248229
"661",-9.00923947663753
"662",-6.8496143370562
"663",-3.54581156127744
"664",-2.0447491637116
"665",-1.98425248697532
"666",-1.25662371609688
"667",-0.909753139315924
"668",-1.47867437343571
"669",-1.21445072077186
"670",-0.431840665529631
"671",-0.798618652988942
"672",-1.84375459317215
"673",-3.85528717529644
"674",-5.16484058986089
"675",-4.91875390242197
"676",-2.80215184402229
"677",-0.783085464653454
"678",-1.3107425607983
"679",-1.38984362216863
"680",-0.520538478729611
"681",-0.58713856355912
"682",-1.25999196583434
"683",-2.76072284074379
"684",-4.18410881538108
"685",-5.45469200897993
"686",-7.36691626929775
"687",-7.99803242585826
"688",-7.61360488787593
"689",-4.51123483436156
"690",-4.09534805362503
"691",-5.99913098700178
"692",-5.81247312121168
"693",-4.67842096307726
"694",-3.4647849391985
"695",-1.73668733834953
"696",-0.813755653528111
"697",-1.82534905745157
"698",-2.51778247084514
"699",-0.880553667759584
