"","x"
"370",-0.0735730932964644
"371",-0.370769221172897
"372",-0.721360450337235
"373",-0.947771100046
"374",-1.14884247512084
"375",-2.04546463165612
"376",-2.30474997119603
"377",-1.77083883255053
"378",-0.182137009063537
"379",0.787736273632024
"380",1.42258436775579
"381",1.09573448053553
"382",0.921113128071249
"383",0.234334871529458
"384",0.284062815773491
"385",0.250000636720346
"386",0.222815466750009
"387",0.129050631117151
"388",0.116038662420938
"389",0.152892402950101
"390",0.199355770960434
"391",0.177888742954811
"392",0.262269521448537
"393",0.341402100698165
"394",0.442930422261409
"395",0.470900186890633
"396",0.108723022416747
"397",-0.242033653805765
"398",-1.05919325145803
"399",-1.92425864787509
"400",-2.00281661230162
"401",-1.21036867771455
"402",-0.0239705603067201
"403",0.560766595797007
"404",0.65281129960572
"405",0.492038258764115
"406",0.134339126323738
"407",-0.154560587650438
"408",-0.335186558792668
"409",-0.279332603937336
"410",-0.0623319109329422
"411",0.201888328386192
"412",0.528231025136673
"413",0.988564245763599
"414",1.49407451888472
"415",1.76320305452839
"416",1.38526469003135
"417",0.715915025265731
"418",0.130779416536554
"419",0.00647747753687231
"420",0.0428544461285659
"421",-0.164226754155525
"422",-0.450918278106261
"423",-0.74141392140883
"424",-0.955014484895721
"425",-1.27261858090923
"426",-1.62526680743599
"427",-2.32247476424012
"428",-2.70178184965146
"429",-2.14706219151
"430",-0.707310389063473
"431",0.651225104561841
"432",1.27171267586462
"433",1.14483193315401
"434",0.712183916018908
"435",0.0465813547385871
"436",-0.296985334571473
"437",-0.0588211094029219
"438",0.173472429301909
"439",0.334306882253166
"440",0.355122783172189
"441",0.370389883652235
"442",0.367459560188453
"443",0.360749977898608
"444",0.311387619995712
"445",0.287444438391099
"446",0.47083222596982
"447",0.339648393886295
"448",-0.00984465623420751
"449",-0.718158293025379
"450",-1.39993386249229
"451",-2.14426559994395
"452",-2.19657530927858
"453",-1.34782871788947
"454",-0.243475459170014
"455",0.517369348626896
"456",0.74071925049046
