Acc0,Acc1,Acc2,Gyr0,Gyr1,Gyr2,Mag0,Mag1,Mag2,Timestamp,dt
-0.046875,0.984375,0.03125,13.60321044921875,-12.44354248046875,-17.27294921875,13.214111328125,-3.021240234375,-20.263671875,141512466117369,0.100866041
-0.125,0.71875,0.0,18.77593994140625,-0.93841552734375,-6.134033203125,12.87841796875,-2.960205078125,-20.1416015625,141512567587525,0.101470156
-0.09375,0.703125,-0.078125,13.00048828125,0.87738037109375,-0.37384033203125,12.969970703125,-2.685546875,-19.59228515625,141512668172994,0.100585469
-0.203125,1.140625,-0.140625,1.800537109375,-3.22723388671875,-0.152587890625,12.847900390625,-2.593994140625,-19.4091796875,141512768755130,0.100582136
-0.28125,1.453125,-0.25,12.65716552734375,-1.12152099609375,-16.86859130859375,13.00048828125,-2.62451171875,-19.805908203125,141512869256067,0.100500937
-0.453125,1.234375,-0.09375,-13.34381103515625,11.3067626953125,-1.190185546875,13.00048828125,-2.62451171875,-19.805908203125,141512969705754,0.100449687
-0.15625,0.703125,-0.015625,-13.89312744140625,2.9449462890625,1.983642578125,12.87841796875,-2.838134765625,-20.1416015625,141513073457421,0.103751667
-0.109375,0.703125,-0.0625,-5.27191162109375,-2.655029296875,10.528564453125,12.908935546875,-2.44140625,-19.53125,141513173862369,0.100404948
-0.109375,0.953125,-0.09375,3.509521484375,-0.3662109375,6.927490234375,12.969970703125,-2.685546875,-19.622802734375,141513274727734,0.100865365
-0.21875,1.25,0.078125,5.2032470703125,-10.18524169921875,-3.16619873046875,12.969970703125,-2.899169921875,-20.08056640625,141513375773463,0.101045729
-0.15625,0.96875,0.078125,7.75909423828125,-5.10406494140625,-7.6141357421875,13.18359375,-2.86865234375,-20.01953125,141513476304400,0.100530937
-0.140625,0.84375,0.015625,18.8751220703125,-1.82342529296875,-11.98577880859375,13.18359375,-2.86865234375,-20.01953125,141513576889244,0.100584844
-0.109375,0.765625,-0.015625,17.66204833984375,4.5166015625,7.68280029296875,12.6953125,-2.532958984375,-20.3857421875,141513677674244,0.100785
-0.109375,0.765625,-0.09375,11.52801513671875,6.500244140625,6.04248046875,12.6953125,-2.410888671875,-19.6533203125,141513778282421,0.100608177
-0.15625,1.125,-0.09375,-14.15252685546875,10.10894775390625,7.7667236328125,12.939453125,-2.349853515625,-19.287109375,141513878980650,0.100698229
-0.203125,0.6875,-0.140625,2.9296875,14.0838623046875,1.0986328125,12.87841796875,-2.655029296875,-19.561767578125,141513979352160,0.10037151
-0.234375,0.96875,-0.046875,-4.00543212890625,-2.03704833984375,-16.79229736328125,12.939453125,-2.532958984375,-19.561767578125,141514079896692,0.100544532
-0.140625,0.65625,-0.109375,-2.17437744140625,-1.56402587890625,12.12310791015625,12.939453125,-2.532958984375,-19.561767578125,141514181303619,0.101406927
-0.125,0.734375,-0.140625,-4.47845458984375,1.30462646484375,5.24139404296875,12.6953125,-2.44140625,-19.10400390625,141514282127994,0.100824375
-0.1875,1.171875,-0.046875,9.0484619140625,-2.62451171875,-6.4239501953125,12.8173828125,-2.532958984375,-19.34814453125,141514382571119,0.100443125
-0.453125,1.640625,0.046875,2.0599365234375,-19.7601318359375,-8.38470458984375,13.092041015625,-2.655029296875,-19.34814453125,141514483886223,0.101315104
-0.28125,1.28125,0.0,10.76507568359375,-6.46209716796875,-12.93182373046875,13.092041015625,-2.44140625,-19.71435546875,141514584529712,0.100643489
-0.203125,0.75,-0.0625,7.5836181640625,31.48651123046875,-8.96453857421875,12.8173828125,-2.44140625,-20.263671875,141514684861639,0.100331927
-0.1875,0.71875,0.0,-0.396728515625,52.58941650390625,-6.9580078125,12.5732421875,-2.166748046875,-19.439697265625,141514785380025,0.100518386
-0.125,0.9375,-0.09375,-4.89044189453125,50.02593994140625,5.72967529296875,12.603759765625,-2.044677734375,-17.913818359375,141514886171014,0.100790989
-0.234375,1.09375,-0.15625,-24.89471435546875,96.9085693359375,-9.33837890625,12.542724609375,-1.953125,-16.78466796875,141514986765181,0.100594167
-0.21875,0.78125,-0.140625,-19.88983154296875,109.43603515625,2.89154052734375,12.0849609375,-1.861572265625,-16.29638671875,141515087377733,0.100612552
-0.1875,0.96875,-0.03125,-19.866943359375,83.59527587890625,-17.7154541015625,12.20703125,-2.227783203125,-14.09912109375,141515187701899,0.100324166
-0.09375,0.625,0.015625,-19.38629150390625,48.42376708984375,2.44140625,12.20703125,-2.227783203125,-14.09912109375,141515288186587,0.100484688
