"","magnitude2D","magnitude2D","magnitude2D","magnitude2D","magnitude2D","magnitude2D","magnitude2D","magnitude2D","magnitude2D","magnitude2D","magnitude2D","magnitude2D","magnitude2D","magnitude2D","magnitude2D","magnitude2D","magnitude2D","magnitude2D"
"rotatedAcc",-0.191926400028472,-0.0197865544368028,-0.287299840369783,-0.450426275600339,-1.53092034836869,1.11706323053079,-0.709317103201057,1.9957314532674,-0.524167066007583,0.582056068076079,0.100569892397291,-0.702747181648158,-0.493654737703811,-0.0304204660030324,0.472084228194783,-0.394042254029519,-0.0759225830585183,-0.211770457765655
"rotatedAcc",-0.748580450306075,-0.0208462812788615,-0.50298607855438,-0.50271083579099,-1.71953779415741,1.23341865755089,-0.429304169281133,0.691047174527535,0.406887046119364,0.430153099214099,0.0660591550889037,-0.44775447717831,-0.0266621493557305,-0.00823170297021341,0.0422545011166413,-0.332053217766686,-0.0689022657098076,-0.239592664960103
"rotatedAcc",-0.973531501900459,-0.0285837106067686,-0.670285705034756,-0.476374724704554,-1.56917550026582,1.24233752595728,0.0238104024229701,-0.551642429941513,0.69662436342618,0.263225542542177,-0.00120974358254084,0.0866659095457884,0.275465541402875,-0.295541231422128,0.531408877392238,-0.251092531435697,-0.0552886194570955,-0.220737321774499
"rotatedAcc",-0.609484183231421,-0.0403623879306933,-0.665969007802301,-0.386620589660165,-1.16741429460051,1.1377156068194,0.253498258653788,-1.25835517956104,0.95107222827371,0.623315612576834,0.0106365231648943,0.0882664532835502,0.294204943805791,-0.308828934362595,0.550220569171264,-0.114851452903586,-0.0344400791748227,-0.214594451051715
"rotatedAcc",-0.287362684137241,-0.037584643574731,-0.517425165661216,-0.210100350478771,-0.608557168324532,0.649798913243115,0.318608570390314,-1.33515009459067,0.8501141477175,1.08100599103824,0.093160183955474,-0.494145988505597,0.090687833046052,0.279489610876834,-0.783351375872473,0.0129507881023577,-0.0147861901474446,-0.207631095568302
"rotatedAcc",-0.10378766958743,-0.00545233057449295,-0.0978276839806681,0.0193363278344146,0.146809792770625,0.050967860606194,0.240214707637584,-1.04537912245617,0.695225613279578,1.12146924344097,0.150518268058024,-0.979314260187782,-0.146349989312215,1.09174340575768,-2.65966643216848,0.123823875554763,0.00800488424414919,-0.130306675452057
"rotatedAcc",-0.208245587746918,0.000647236019772638,-0.0692457672907446,0.160209732003373,0.565078557143272,-0.37224848465209,0.132438613675557,-0.528581269941258,0.316369548381261,0.738049138501292,0.131457197357975,-0.925167127849356,-0.268655910989469,1.30256439108436,-3.09806489091024,0.122849803836829,0.00758865244827933,-0.133668184131015
"rotatedAcc",0.226767559558821,-0.0586524885580888,-0.559935294266353,0.0605252704417481,0.363663868278681,0.0425819624672255,-0.0671115436806928,0.0349567535820152,0.165986466570974,-0.109637475640074,0.0557903743814018,-0.515031687179352,-1.03694693311606,1.17294991271906,-2.15410316441932,0.0800123999867454,0.00925460940801072,-0.0335133778747398
"rotatedAcc",1.05006698154138,-0.146657080820814,-1.22300141680955,-0.0640450177995964,-0.0995201756528878,0.3029756102869,-0.348969763073449,0.648400474319003,0.209320911032694,-0.456406345808784,0.00367080627133108,-0.16389843830747,-2.25993863823266,1.16413785809341,-1.1538164914924,-0.0225960228393733,0.000608639247176714,0.0494757496465273
"rotatedAcc",1.66419211832469,-0.119524551606819,-0.700383579131003,-0.0526773970902812,0.0363919261933299,0.393452301063783,-0.528691724997345,0.965441091632524,0.3407872800358,-0.0321356239988214,0.0650780281916026,-0.5730568604597,-1.54162313183781,0.923366999208458,-1.11579988348835,-0.100472472945383,-0.00976075467941829,0.0651839899603854
