Acc0,Acc1,Acc2,Gyro0,Gyro1,Gyro2,MagnetData0,MagnetData1,MagnetData2,Timestamp,dt
-0.359375,0.953125,-0.09375,10.5361938477,-22.7355957031,-15.7165527344,1.8920898438,15.380859375,-8.2092285156,141105096924400,0.100752865
-0.375,0.703125,-0.0625,-5.8898925781,-13.1759643555,4.5776367188,1.8615722656,15.5639648438,-9.3994140625,141105197733827,0.100809427
-0.296875,0.765625,-0.046875,-5.5084228516,-11.9781494141,12.2528076172,1.8310546875,15.3198242188,-9.3688964844,141105299344504,0.101610677
-0.328125,0.890625,-0.078125,0.5874633789,-5.241394043,15.8538818359,1.7395019531,15.380859375,-10.1318359375,141105400332993,0.100988489
-0.40625,1.140625,0.109375,6.2637329102,-4.1275024414,3.3493041992,1.9226074219,15.380859375,-9.6740722656,141105500969035,0.100636042
-0.40625,1.140625,0.109375,9.2391967773,-3.5095214844,8.2855224609,2.2888183594,14.7094726563,-10.6201171875,141105602022368,0.101053333
-0.234375,0.75,0.046875,11.4517211914,2.1896362305,-2.9296875,2.5939941406,14.7705078125,-10.7116699219,141105703449764,0.101427396
-0.234375,0.75,0.03125,15.9378051758,-3.7078857422,1.7013549805,2.5329589844,14.9536132813,-10.4370117188,141105804216326,0.100766562
-0.21875,0.828125,-0.015625,13.4582519531,-8.0337524414,-3.2653808594,2.3498535156,14.7705078125,-10.3759765625,141105904710545,0.100494219
-0.34375,1.03125,-0.09375,7.3928833008,-6.1340332031,3.3950805664,2.6245117188,14.8010253906,-10.1623535156,141106005111066,0.100400521
-0.421875,1.25,-0.1875,17.1127319336,7.2860717773,-8.9797973633,2.6245117188,14.8010253906,-10.1623535156,141106105668878,0.100557812
-0.40625,1.109375,-0.109375,-8.903503418,12.8326416016,-3.1356811523,2.5329589844,14.3737792969,-10.3454589844,141106206267576,0.100598698
-0.3125,0.875,-0.046875,-12.0010375977,12.9547119141,-3.5629272461,2.4108886719,14.7399902344,-10.0708007813,141106306976222,0.100708646
-0.265625,0.71875,-0.046875,-10.7116699219,16.3726806641,2.5024414063,2.4719238281,14.9230957031,-10.6201171875,141106407372889,0.100396667
-0.25,0.890625,-0.109375,-7.2402954102,17.6849365234,7.1868896484,2.5939941406,14.7399902344,-9.3383789063,141106508379555,0.101006666
-0.359375,1.125,0,0.8087158203,3.9978027344,3.8681030273,2.6245117188,14.8620605469,-9.3688964844,141106609246430,0.100866875
-0.375,1.21875,0,9.4604492188,-5.5618286133,-2.3040771484,2.685546875,14.6484375,-9.7045898438,141106710464920,0.10121849
-0.390625,1.109375,0.078125,8.5372924805,-6.0119628906,-3.8681030273,2.5939941406,14.5874023438,-9.7961425781,141106811196014,0.100731094
-0.21875,0.875,0.03125,19.5083618164,-7.6141357422,-1.3732910156,2.5939941406,14.5874023438,-9.7961425781,141106911883878,0.100687864
-0.171875,0.78125,0,19.7677612305,-10.3454589844,-4.3411254883,2.8991699219,14.5568847656,-10.5285644531,141107013856847,0.101972969
-0.234375,0.78125,-0.09375,20.149230957,-27.6641845703,9.0255737305,2.5634765625,14.5263671875,-9.765625,141107114672211,0.100815364
-0.375,1.15625,-0.109375,-1.0375976563,-8.4228515625,12.0697021484,2.6245117188,14.8010253906,-9.8876953125,141107215544295,0.100872084
-0.359375,0.90625,-0.140625,5.1498413086,8.1558227539,-3.044128418,2.9602050781,14.16015625,-10.6506347656,141107316176326,0.100632031
-0.296875,0.859375,-0.078125,-12.7868652344,8.9721679688,-11.9323730469,3.0517578125,14.3127441406,-10.2233886719,141107416871742,0.100695416
-0.21875,0.703125,-0.046875,-14.6560668945,7.0877075195,-2.8610229492,2.7160644531,14.4653320313,-10.4370117188,141107517767888,0.100896146
-0.25,1,-0.109375,-9.7961425781,12.0620727539,-1.8157958984,2.5024414063,14.5263671875,-10.1013183594,141107618206847,0.100438959
-0.328125,1,0.015625,1.7242431641,8.4762573242,14.8086547852,2.3193359375,14.7399902344,-10.6811523438,141107719637315,0.101430468
